subject_code,footnotes
352,"Department Chair: Christa Olson, 7187 Helen C. White Hall 

Please refer enrollment questions regarding courses 100 through 699 to the Academic Advising Manager, Erin Polnaszek Boyd: erin.polnaszek.boyd@wisc.edu 

Please refer enrollment questions regarding courses 700 through 999 to the Graduate Coodinator: gradcoord@english.wisc.edu"
380,"Folklore 100 is not open to seniors by credit. 

German, Nordic, and Slavic+, 814 Van Hise, (608)262-2192

Supplemental course information found on GNS Department home page:  https://gns.wisc.edu/"
420,"Curricular Representative - Lisa Theo (ljtheo@wisc.edu)

Department home page:  http://geoscience.wisc.edu/geoscience/"
448,"For more information about HISTORY and HISTORY OF SCIENCE courses, please see: GO.WISC.EDU/HISTC

Syllabi from previous semesters can be found in the History Syllabi Library: GO.WISC.EDU/SLYLIBRARY

For undergraduate courses (100-699), questions about permissions, wait lists, etc. should be directed to undergraduateprogram@history.wisc.edu

For graduate courses (700-999), questions should be directed to graduateprogram@history.wisc.edu"
742,"Curricular Rep, Dept of Kinesiology, (608)262-0259 or ugkines@education.wisc.edu"
120,"The following LSC courses give priority access to LSC majors from November 11 to November 13 - LSC 212, LSC 314, LSC 332, LSC 450, LSC 460, LSC 532, LSC 625 and LSC 640.

The following LSC courses give priority access LSC majors, Science Communication and Digital Studies certificate students from November 14 to November 17 - LSC 212, LSC 314, LSC 332, LSC 450, LSC 460, LSC 532, LSC 625 and LSC 640.

LSC courses will open to ALL students on November 18.

You must be declared in the LSC major, Sci Comm certificate or Digital Studies certificate programs to receive priority enrollment. If you see a class that says it is only open to LSC majors, Sci Comm certificate students, or Digital Studies certificate students, please check back later to enroll in any open seats or add yourself to the course waitlist.

Most of our courses provide additional information under ""Instructor Provided Content"" at the bottom of this tab. Check out that information to learn more about the course.

Registration questions can be directed to lifescicomm@cals.wisc.edu."
192,"Please contact listed instructor if you have questions about this course.
For additional questions, please email biochemmicrobio-advisor@wisc.edu. 
Katrina Forest, Department Chair"
695,Contact Lisa Cappabianca at ugkines@education.wisc.edu if you have questions about enrollment.
194,"Undergraduate students: Contact Rebecca Bradbury, rebecca.bradbury@wisc.edu, for questions regarding requisites and course permissions.

Graduate students: Contact Kayla Armstrong, armstrongalf@wisc.edu, for questions regarding requisites and course permissions."
896,Enrollment questions? Contact enrollment@socwork.wisc.edu
942,
106,"Christy Clark-Pujara Chair, 4143 H.C. White Hall,
Please email aas.registration@hcw.wisc.edu for any registration questions"
108,"Daniel Phaneuf, Chair, Taylor Hall, 427 Lorch Street, (608)262-8966

For permission to enroll in AAE courses and course-related questions, please email enroll@aae.wisc.edu.

Department home page available with supplemental course information.  Please access at https://aae.wisc.edu/courses/."
184,"Timothy Yu, Director"
205,For enrollment questions email waitlist@zoology.wisc.edu or call Nazan Gillie (608) 262-2741.
224,"Please contact the Undergraduate Chemistry Office at undergrad@chem.wisc.edu or 608-263-2424 for enrollment, course access, and wait list questions. Syllabi for previously offered courses can be found on the Department of Chemistry website (https://chem.wisc.edu) by selecting ""Syllabus Library"" from the ""Academics"" drop-down menu. Information about placement into and selection of introductory chemistry courses can be found at: https://chem.wisc.edu/introductory-chemistry-courses-and-placement/."
270,"Contact the instructor assigned to course or the department at (608) 262-4807 or ampalm@wisc.edu if you have enrollment questions.

Dr. Mindi Thompson, Dept. Chair, 335D Education Building, mnthompson@wisc.edu"
741,"125 Lathrop Hall (608)262-1691           

The Dance Department is committed to creating an inclusive and accessible environment. If you need reasonable accommodations, please contact the course instructor."
359,"Samuel Dennis, Convener, 3138 Nancy Nicholas Hall, 1300 Linden Dr.

Please address registration/enrollment related questions to enrollment@sohe.wisc.edu.

Many DS courses are open first to students enrolled in the Design Studies majors. Please pay careful attention to Class notes for additional course information, including course fees and when courses will open to non-Design Studies majors.

Students enrolled for design courses must provide basic materials used in coursework.  Course fees for independent study, senior thesis, and research courses (courses numbered 299, 690, 699, 990, and 999) will range from $10 to $75, depending on items used."
296,"Departmental Office Emails
PhD and Master's: gradpro@ssc.wisc.edu
Undergraduate: econadvise@ssc.wisc.edu
UW-Economics Website: econ.wisc.edu

Placement on the wait list does not guarantee enrollment into the class. For our waitlist policy and all FAQs: https://econ.wisc.edu/undergraduate/faq/

Masters students in Economics may enroll into courses designated as Economics Core Electives beginning mid-November for Spring enrollment and mid-April for Fall enrollment. Please email your program manager for more information.

Enrollment for courses designated as Honors in the Economics Department prioritizes enrollment first for Honors-designated students. Enrollment into these classes for any other qualifying student will happen in mid-November for Spring enrollment and mid-April for Fall enrollment. 

Economics does not manage enrollment for cross-listed classes within the Wisconsin School of Business (WSB). The subject notes of the WSB class lists enrollment details. 

Special/non-degree-seeking students should fill out the following form for permission to enroll in Economics undergraduate courses: https://econ.wisc.edu/special-non-degree-seeking-students/. Permission will be granted beginning late November for Spring enrollment and late April for Fall enrollment. Please note that enrollment is not guaranteed.

Undergraduate students with enrollment inquiries should email econadvise@ssc.wisc.edu."
360,"Please contact the Nelson Institute's enrollment coordinator Tara Mohan (temohan@wisc.edu) or the listed instructor with course enrollment questions. If you receive an error message when enrolling, please first check the Class Notes for that specific course/section for information about enrollment priority or restrictions.

See https://nelson.wisc.edu/undergraduate/featured-courses/ for featured Environmental Studies courses each semester."
400,"For undergraduate or general questions, please visit our website at https://frit.wisc.edu/, email maschoville@wisc.edu, or call 608-262-5074. 

For graduate related questions, please email ramer2@wisc.edu or call 608-262-6971. 

For supplemental course information, visit our website: https://frit.wisc.edu/.
Merci !"
963,"For information on our undergraduate programs, courses, and enrollment, please visit https://gws.wisc.edu/undergraduate/. GWS majors will find the Approaches and Issue Areas for current semester's courses here: https://gws.wisc.edu/undergraduate/courses-lists/. 

Please email advising@gws.wisc.edu with specific questions about GWS programs and/or courses."
416,"Please contact Joel Gruley (jgruley@wisc.edu) with course enrollment questions. 

Descriptions of Geography classes and course syllabi are located at https://geography.wisc.edu/geography-courses/"
424,"German, Nordic, and Slavic+, 814 Van Hise, (608)262-2192

Supplemental course information found on GNS Department home page:  https://gns.wisc.edu/"
504,"Questions about INTL ST courses may be directed to the Program Coordinator, Molly Donnellan at molly.donnellan@wisc.edu. 

For questions about specific course content or course syllabus, please contact the listed instructor directly."
508,"For undergraduate or general questions, please visit our website at https://frit.wisc.edu/, email maschoville@wisc.edu, or call 608-262-5074. 

For graduate related questions, please email ramer2@wisc.edu or call 608-262-6971. 

For supplemental course information, visit our website: https://frit.wisc.edu/.
Grazie !"
550,"If a class is full, please enroll on the waitlist if available.

Questions? Contact Academic Advisor Becky Shields: rashields@wisc.edu.

More program info at our website: http://langsci.wisc.edu"
736,"James Messina, Chair, 5185 White Hall  

Enrollment Information: (608) 263-3700

Email: registration@philosophy.wisc.edu"
908,"Doug Soldat, Chair, 263 Soil Science 608/263-3631

Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
912,"Department Chair: Prof. Fernando Tejedo-Herrero, 1018 Van Hise Hall, (608) 262-2093

Please refer enrollment questions to the Undergraduate Advisor, Karen Francis, at karen.francis@wisc.edu. Our waitlist policy can be found at https://spanport.wisc.edu/undergrad-course-info/"
970,"Dept of Integrative Biology. For enrollment questions please email enrollment@biology.wisc.edu. All directed study forms should be brought/emailed to 152 Birge Hall or to your academic advisors in Birge Hall for Zoology, Neurobiology, Molecular and Cellular Biology majors. Directed Study Course Authorization forms can be found on the iBio website:https://integrativebiology.wisc.edu/wp-content/uploads/sites/214/2026/02/Course-Authorization-Form_1.pdf

Please check our Enrollment FAQ on our website: https://integrativebiology.wisc.edu/enrollment-faqs/"
102,"Lt Col Scott R. Gross, 1433 Monroe St (608) 262-3440
For Participating Students:

Participating students are those who are registered in Aerospace Studies courses but do not seek a commission. Participating students are not cadets, and the following apply:

- Must create a WINGS account; however students are not required to complete the application for AFROTC membership. Accounts can be created here: https://wings.holmcenter.com/psp/hcp/LANDING/PORT_HCP/c/W_ROTC.W_PTL_PRESCREEN.GBL

- May enroll in AFROTC classes for academic course credit only.

- Will not be issued uniforms.

- Will not be included in Detachment Commander's Ranking.

- Are ineligible to compete in any selection program.

- Cannot compete for an Enrollment Allocation (EA), contract, or commission."
156,"John Hawks, Chair
Department Office, 5240 Social Science (608)262-2866

Department Guide page available with supplemental course information. Please access through this link: https://guide.wisc.edu/courses/anthro/
Section Switches must be done online. If switching sections, DO NOT DROP, you need to SWAP for new section/course. Failure to swap may result in losing your seat. Please contact the office at anthroinfo@mailplus.wisc.edu or 262-2866 if you have questions."
186,"For more information about courses, majors, and certificates offered by the Department of Asian Languages and Cultures, see alc.wisc.edu

For concerns that cannot be answered by the course instructor, please contact the department's Student Services Coordinator: Rachel Weiss, rweiss@wisc.edu."
228,"Theresa Delgadillo, Director: 311 Ingraham Hall
Rachelle Eilers, Advisor: 307 Ingraham Hall, (608) 265-6081
Peter Haney, Administrator: 312 Ingraham Hall, (608) 263-4486
Program Website with supplemental course information: https://chicla.wisc.edu/"
244,"Questions? Please contact Andrew Bartsch, Advisor:  apbartsch@wisc.edu or (608) 262-2041"
266,"Courses taught and managed by the Computer Sciences department often have enrollment restrictions that give students in UW-Madison Computer Sciences programs priority access during initial enrollment periods. Those restrictions are removed after the conclusion of sophomore enrollment.

Some CS courses add seats gradually during enrollment. Once all seats have been released, a wait list will be added. Visit this Comp Sci webpage for specific CS course enrollment information:  https://www.cs.wisc.edu/courses-2/ 

Evening exams are likely for most of our undergraduate courses."
442,"For advising or course-related questions, please contact the Undergraduate Advisor in Jewish Studies at undergrad-adviser@cjs.wisc.edu or visit cjs.wisc.edu/advising/.

For general information about the Jewish Studies program, contact Jordan Rosenblum, Director of the Center for Jewish Studies, at director@cjs.wisc.edu."
544,You may contact us at enrollment@ischool.wisc.edu or by phone at (608) 263-2900.
644,LTC Scott B. Cheney (608) 262-3411
782,"Department Chair: Prof. Fernando Tejedo-Herrero, 1018 Van Hise Hall, (608) 262-2093

Please refer enrollment questions to the Undergraduate Advisor, Karen Francis, at karen.francis@wisc.edu. Our waitlist policy can be found at https://spanport.wisc.edu/undergrad-course-info/"
872,"German, Nordic, and Slavic+, 814 Van Hise, (608)262-2192

Supplemental course information found on GNS Department home page:  https://gns.wisc.edu/"
888,"German, Nordic, and Slavic+, 814 Van Hise, (608)262-2192

Supplemental course information found on GNS Department home page:  https://gns.wisc.edu/"
180,"Jennifer Pruitt, Chair, 232 Elvehjem Building, (608) 263-2340

Department webpage available here: https://arthistory.wisc.edu/"
188,"Departmental Office: 2535 Sterling Hall, (608)890-3775

Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
551,"Offerings under this subject are contributed by several departments within the College of Letters & Science.  For more information on specific courses, see individual course footnotes.  For questions about literature in translation courses fulfilling major or certificate requirements, consult the Guide or the specific department."
754,"To submit a requisite exemption request visit: http://www.physics.wisc.edu/enroll

Wait Lists are first come first serve. The Physics Department does not over enroll any discussion or lab sections. The best chance of getting into a physics course is finding a section that has immediate openings.

For enrollment, course access, and wait list questions, please email enroll@physics.wisc.edu

For more information about Physics courses, please visit https://www.physics.wisc.edu/courses/"
428,"Questions? Please contact Andrew Bartsch, Advisor:  apbartsch@wisc.edu or (608) 262-2041"
524,"For questions about Latin placement and appropriate course selection, please contact Vanessa Schmitz-Siebertz, schmitzsiebe@wisc.edu, or contact Andrew Bartsch, Advisor, apbartsch@wisc.edu or (608) 262-2041."
778,"Please contact listed instructor if you have questions about this course.

If a class has a waitlist, please enroll onto the waitlist to be to be added to the queue for an open spot. Placement on the wait list does not guarantee enrollment into the class. It is always recommended that you enroll for a full class schedule in case your initial selections are not available.

For consideration of requisite waiver and/or to obtain instructor consent, please reach out to the instructor of the course.

Although multiple discussion sections may be listed for a course, not all may be open during registration period unless demand warrants. Please visit the Political Science website at http://www.polisci.wisc.edu for more information."
856,"Susan B. Ridgely, Director, 210 Bradley Memorial Building, (608) 265-1854"
692,"Enrollment questions? Contact courses@nursing.wisc.edu.

Current health documentation must be on file in Student Services for students enrolling in clinical courses."
766,Course access questions can be directed to student-services@russell.wisc.edu.
732,Enrollment questions?  Contact pharminfo@pharmacy.wisc.edu or 608-262-6234
231,"The WSB has standardized the waitlist process.  Students looking to access a closed class should put their name on the waitlist and waitlists will be processed on a first-come first-served basis.  The only exception is GEN BUS 306, for which business students will be given priority.  If you need assistance adding yourself to the waitlist or if you wish to request an exception to the first-come, first-served process, please use this link to request permission: 
         https://go.wisc.edu/busenroll 

Please note that any requests for an exception to the first-come, first-served waitlist processing will be verified through advising.  

All undergraduate Business courses are restricted to admitted Business students and Certificate in Business students declared prior to Spring 2025 (does not include Certificates in Entrepreneurship, Consulting, Accounting Fundamentals, Risk Management and Insurance, or Summer Certificate in Business Fundamentals) until 8 AM (CST) May 1, 2025 for fall enrollment and 8 AM (CST) December 9, 2025 for spring enrollment, unless otherwise noted. GEN BUS 310 and GEN BUS 311 are not restricted.

Certificate in Business students declared after Spring 2025 will gain access to ACCT I S 100, M H R 300, FINANCE 300, MARKETNG 300, OTM 300, REAL EST 306, and R M I 300 at least 3 days prior to the noted open enrollment date. Spring 2026 enrollment date for CIB is December 4, 2025."
425,"German, Nordic, and Slavic+, 814 Van Hise, (608)262-2192

Supplemental course information found on GNS Department home page:  https://gns.wisc.edu/"
510,"For advising or course-related questions, please contact the Undergraduate Advisor in Jewish Studies at undergrad-adviser@cjs.wisc.edu or visit cjs.wisc.edu/advising/.

For general information about the Jewish Studies program, contact Jordan Rosenblum, Director of the Center for Jewish Studies, at director@cjs.wisc.edu."
500,"Karen Britland, Chair, 228 N. Charter St., (608) 262-2190
Laura Bradley, ILS Advisor, lsbradley@wisc.edu"
271,"Melissa Bublitz, Chair, 4220 Nancy Nicholas Hall, 1300 Linden Dr.

Please address registration/enrollment related questions to enrollment@sohe.wisc.edu.

Many undergraduate CNSR SCI courses are open first to students enrolled in the Consumer Science Department majors. Please pay careful attention to Class notes for additional course information, including when courses will open to non-CNSR SCI majors."
310,"Please contact the Educational Policy Studies curricular representative, Kristin Dalby (kdalby@wisc.edu), with any questions about Ed Pol courses/enrollment. 

The Educational Policy Studies Department Chair is Professor Nancy Kendall.

Department location: 235 Education Building
Department telephone: 608-262-1760
Department website: https://eps.education.wisc.edu/

Prof Nancy Kendall Chair, 235 Education Bldg., (608) 262-1760"
495,
351,
494,"116 Agriculture Hall, (608) 262-3003

Please send registration/enrollment related questions to academicaffairs@cals.wisc.edu"
252,"Margarita Kaushanskaya 301 Goodnight Hall, (608) 262-3951

Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
315,"Department of Educational Psychology Main Office (608) 262-3432

Please read all footnotes for additional course information.  For instructor consent courses, email the instructor assigned to the course and include your campus ID number.  Other enrollment questions regarding Ed Psych courses may be emailed to edpsych@education.wisc.edu."
820,"-

Please read course prerequisite and enrollment restriction information carefully. Some classes have additional enrollment restrictions.

Questions regarding enrollment in undergraduate Psychology courses may be sent to: enrollment@psych.wisc.edu.

Questions regarding enrollment in graduate Psychology courses (Psych 610 and classes 700-level and above) should be sent to: kbelt@psych.wisc.edu.

Questions regarding enrollment in the MS Data Science in Human Behavior program may be sent to: ceiverson@wisc.edu."
247,"Carolee Dodge Francis, Chair, 4151 Nancy Nicholas Hall, 1300 Linden Dr.

Please address registration/enrollment related questions to enrollment@sohe.wisc.edu.

Please pay careful attention to class notes for any additional course information."
726,Enrollment questions?  Contact pharminfo@pharmacy.wisc.edu or 608-262-6234
535,"Ralph Grunewald, Director
Please direct enrollment questions to Martine Delannay, Associate Director
8137 Social Science, cjcp@ssc.wisc.edu, (608) 262-2083

ELIGIBILITY controls for Legal Studies courses (except 131, 217) giving preference to students with DECLARED mjrs in Legal St and Criminal Justice will be in effect through Jr enrollment."
900,"SEND COURSE OR TIMETABLE QUESTIONS TO Undergraduate Coordinator Ted Babcock, (608) 262-3261, ted.babcock@wisc.edu

See our Enrollment Help page:
https://sociology.wisc.edu/undergraduate-program/sociology-enrollment-help/

* If you are a transfer student and have completed an introductory Sociology class elsewhere, please contact us so we can put you into a Student Group that will allow you to enroll in any Sociology class that requires it.

Department Chair: Prof. Eric Grodsky, 8128B Sewell Social Sciences Bldg."
694,"Scott Rankin, Interim Chair, 266 Nutr Sci, (608) 262-2727

Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
412,"Francisco Pelegri, Department Chair, fjpelegri@wisc.edu"
502,"Please note: Your first point of contact for questions about this course should be the instructor listed for the section. If you have additional questions, please email teach.learn@ls.wisc.edu."
604,"Hasan Khateeb, Interim Chair, 266A Animal Sci, hkhatib@wisc.edu"
864,"Nan Enstad, Chair, 350 Agricultural Hall, (608)262-1510

Community & Environmental Sociology 357, 360 may require authorization.  Students who need these courses for a degree should consult Lyn Macgregor, (608)262-3572, 8128 Social Science.
Department home page available with supplemental course information.  Please access through the list of departments at http://www.wisc.edu/academics/departments.php"
496,"Enrollment in InterEGR courses is generally restricted to students admitted to the College of Engineering.

If you are on a waitlist, stay on it. Information regarding individual waitlist statuses will not be provided.

All College of Engineering courses may have evening exams.

For enrollment help, please email interegr-enrollment@engr.wisc.edu."
456,"For more information about HISTORY and HISTORY OF SCIENCE courses, please see: GO.WISC.EDU/HISTC

Syllabi from previous semesters can be found in the History Syllabi Library: GO.WISC.EDU/SLYLIBRARY

For undergraduate courses (100-699), questions about permissions, wait lists, etc. should be directed to undergraduateprogram@history.wisc.edu

For graduate courses (700-999), questions should be directed to graduateprogram@history.wisc.edu"
503,"You may contact 608-263-0598 or connect@wiscience.wisc.edu, or https://wiscience.wisc.edu to learn more about this class and other departmental offerings."
512,
230,"Heather Kirkorian, Chair, 4199 Nancy Nicholas Hall, 1300 Linden Dr.

Please address registration/enrollment related questions to enrollment@sohe.wisc.edu.

Many undergraduate HDFS courses are open first to students enrolled in the Human Development & Family Studies major. Please pay careful attention to Class notes for additional course information, including when courses will open to non-HDFS majors."
672,"1610 University Ave, (608) 262-3794"
233,"The WSB has standardized the waitlist process.  Students looking to access a closed class should put their name on the waitlist and waitlists will be processed on a first-come first-served basis.  The only exception is GEN BUS 306, for which business students will be given priority.  If you need assistance adding yourself to the waitlist or if you wish to request an exception to the first-come, first-served process, please use this link to request permission: 
         https://go.wisc.edu/busenroll 

Please note that any requests for an exception to the first-come, first-served waitlist processing will be verified through advising.  

All undergraduate Business courses are restricted to admitted Business students and Certificate in Business students declared prior to Spring 2025 (does not include Certificates in Entrepreneurship, Consulting, Accounting Fundamentals, Risk Management and Insurance, or Summer Certificate in Business Fundamentals) until 8 AM (CST) May 1, 2025 for fall enrollment and 8 AM (CST) December 9, 2025 for spring enrollment, unless otherwise noted.

Certificate in Business students declared after Spring 2025 will gain access to ACCT I S 100, M H R 300, FINANCE 300, MARKETNG 300, OTM 300, REAL EST 306, and R M I 300 at least 3 days prior to the noted open enrollment date. Spring 2026 enrollment date for CIB is December 4, 2025."
235,"The WSB has standardized the waitlist process.  Students looking to access a closed class should put their name on the waitlist and waitlists will be processed on a first-come first-served basis.  The only exception is GEN BUS 306, for which business students will be given priority.  If you need assistance adding yourself to the waitlist or if you wish to request an exception to the first-come, first-served process, please use this link to request permission: 
         https://go.wisc.edu/busenroll 

Please note that any requests for an exception to the first-come, first-served waitlist processing will be verified through advising.  

All undergraduate Business courses are restricted to admitted Business students and Certificate in Business students declared prior to Spring 2025 (does not include Certificates in Entrepreneurship, Consulting, Accounting Fundamentals, Risk Management and Insurance, or Summer Certificate in Business Fundamentals) until 8 AM (CST) May 1, 2025 for fall enrollment and 8 AM (CST) December 9, 2025 for spring enrollment, unless otherwise noted.

Certificate in Business students declared after Spring 2025 will gain access to ACCT I S 100, M H R 300, FINANCE 300, MARKETNG 300, OTM 300, REAL EST 306, and R M I 300 at least 3 days prior to the noted open enrollment date. Spring 2026 enrollment date for CIB is December 4, 2025."
