section_id,course_id,subject_code,catalog_number,instructors,status,available_seats,waitlist_total,capacity,enrolled,meeting_time,location,instruction_mode,is_asynchronous
,,,,Kristen Pecanac,OPEN,,,5,0,,Online,,
,,,,Heidi Neuhauser,OPEN,,,5,0,,Online,,
,,,,Kristine Kwekkeboom,OPEN,,,5,0,,Online,,
,,,,Maichou Lor,OPEN,,,1,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,Rikhil Bhavnani,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,Daniel Kapust,OPEN,,,5,0,,Online,,
,,,,Alex Tahk,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,,OPEN,,,5,0,,Online,,
,,,,Amy Gangl,OPEN,,,20,0,,Online,,
,,,,Karl Rohe,OPEN,,,10,0,,Online,,
,,,,Vivak Patel,OPEN,,,10,0,,Online,,
,,,,Garvesh Raskutti,OPEN,,,10,0,,Online,,
,,,,Jiwei Zhao,OPEN,,,10,0,,Online,,
,,,,Jun Zhu,OPEN,,,10,0,,Online,,
,,,,Sunduz Keles,OPEN,,,10,0,,Online,,
,,,,Michael Newton,OPEN,,,10,0,,Online,,
,,,,Cecile Ane,OPEN,,,10,0,,Online,,
,,,,Scott Hartman,CLOSED,,,1,1,,Online,,
,,,,Heidi Horn,CLOSED,,,0,0,,Online,,
,,,,Laura Hernandez,CLOSED,,,0,0,,Online,,
,,,,Evelyn Howell,CLOSED,,,0,0,,Online,,
,,,,Anna Kowalkowski,OPEN,,,15,0,,Online,,
,,,,Karen Strier,OPEN,,,10,1,,Online,,
,,,,Shelby O'Connor,OPEN,,,10,0,,Online,,
,,,,Thulani Davis,CLOSED,,,0,0,,Online,,
,,,,Mosi Ifatunji,CLOSED,,,0,0,,Online,,
,,,,Jessica Stovall,CLOSED,,,0,5,,Online,,
,,,,Ethelene Whitmire,CLOSED,,,0,0,,Online,,
,,,,Christy Clark-Pujara,CLOSED,,,0,0,,Online,,
,,,,K.D. Thompson,CLOSED,,,0,1,,Online,,
,,,,Matthew Brown,CLOSED,,,0,0,,Online,,
,,,,Mustafa Mustafa,CLOSED,,,0,0,,Online,,
,,,,Luis Madureira,CLOSED,,,0,0,,Online,,
,,,,Jordan Van Rijn,OPEN,,,5,0,,Online,,
,,,,Guanming Shi,OPEN,,,2,0,,Online,,
,,,,Dominic Parker,OPEN,,,3,0,,Online,,
,,,,Sheldon Du,OPEN,,,10,0,,Online,,
,,,,Jeremy Beach,OPEN,,,5,1,,Online,,
,,,,Corbett Grainger,OPEN,,,2,0,,Online,,
,,,,Paul Mitchell,OPEN,,,3,0,,Online,,
,,,,Jeremy Foltz,OPEN,,,10,0,,Online,,
,,,,Steven Deller,OPEN,,,3,0,,Online,,
,,,,Tessa Conroy,OPEN,,,3,0,,Online,,
,,,,Randy Jackson,OPEN,,,5,0,,Online,,
,,,,Claudio Gratton,OPEN,,,5,0,,Online,,
,,,,Michael Bell,OPEN,,,15,0,,Online,,
,,,,Andrew Lokuta,CLOSED,,,0,0,,Online,,
,,,,Janet Branchaw,CLOSED,,,0,0,,Online,,
,,,,Julie Stamm,CLOSED,,,0,0,,Online,,
,,,,Elise Davis,OPEN,,,5,0,,Online,,
,,,,Meghan Cotter,OPEN,,,5,0,,Online,,
,,,,Matthew Banks,OPEN,,,5,0,,Online,,
,,,,Robert Pearce,OPEN,,,3,0,,Online,,
,,,,Alaa Abd-Elsayed,OPEN,,,5,0,,Online,,
,,,,Zachary Campbell,OPEN,,,10,0,,Online,,
,,,,Richard Lennertz,OPEN,,,10,2,,Online,,
,,,,Ron Kean,CLOSED,,,0,0,,Online,,
,,,,Lauren Baker,CLOSED,,,0,0,,Online,,
,,,,Steven Ricke,CLOSED,,,0,0,,Online,,
,,,,Francisco Penagaricano,CLOSED,,,0,0,,Online,,
,,,,Luiz Ferraretto,CLOSED,,,0,0,,Online,,
,,,,Brian Kirkpatrick,CLOSED,,,0,2,,Online,,
,,,,Tom Crenshaw,CLOSED,,,0,0,,Online,,
,,,,Sarah Adcock,CLOSED,,,0,0,,Online,,
,,,,Lautaro Rostoll Cangiano,CLOSED,,,0,1,,Online,,
,,,,Hasan Khateeb,CLOSED,,,0,0,,Online,,
,,,,Hilario Mantovani,CLOSED,,,0,1,,Online,,
,,,,Wei Guo,CLOSED,,,0,1,,Online,,
,,,,Dhanu Shanmuganayagam,CLOSED,,,0,0,,Online,,
,,,,Vanessa Leone,CLOSED,,,0,0,,Online,,
,,,,Joao Reboucas Dorea,CLOSED,,,0,0,,Online,,
,,,,Jim Claus,CLOSED,,,0,0,,Online,,
,,,,Jeff Sindelar,CLOSED,,,0,0,,Online,,
,,,,Guilherme Rosa,CLOSED,,,0,0,,Online,,
,,,,Mark Richards,CLOSED,,,0,0,,Online,,
,,,,Eric Ronk,CLOSED,,,0,9,,Online,,
,,,,Nam Kim,CLOSED,,,0,0,,Online,,
,,,,Sarah Clayton,CLOSED,,,0,0,,Online,,
,,,,Travis Pickering,CLOSED,,,0,0,,Online,,
,,,,Claire Wendland,CLOSED,,,0,0,,Online,,
,,,,Liz Leith,CLOSED,,,0,1,,Online,,
,,,,John Hawks,CLOSED,,,0,0,,Online,,
,,,,Falina Enriquez,CLOSED,,,0,0,,Online,,
,,,,Sissel Schroeder,CLOSED,,,0,2,,Online,,
,,,,Jerome Camal,CLOSED,,,0,0,,Online,,
,,,,Karen Strier,CLOSED,,,0,0,,Online,,
,,,,Veronika Kusumaryati,CLOSED,,,0,0,,Online,,
,,,,Mai See Thao,CLOSED,,,0,0,,Online,,
,,,,Katherine Bowie,CLOSED,,,0,0,,Online,,
,,,,Margaret Bryer,CLOSED,,,0,1,,Online,,
,,,,Leonie Schulte,CLOSED,,,0,0,,Online,,
,,,,Amy Stambach,CLOSED,,,0,0,,Online,,
,,,,Fumie Iizuka,CLOSED,,,0,0,,Online,,
,,,,Henry Bunn,CLOSED,,,0,0,,Online,,
,,,,Emiko Ohnuki-Tierney,CLOSED,,,0,0,,Online,,
,,,,Maria Lepowsky,CLOSED,,,0,0,,Online,,
,,,,Jonathan Kenoyer,CLOSED,,,0,0,,Online,,
,,,,Jennifer Angus,OPEN,,,5,0,,Online,,
,,,,Lynda Barry,OPEN,,,5,1,,Online,,
,,,,Helen Lee,OPEN,,,5,0,,Online,,
,,,,Helen Lee,OPEN,,,5,0,,Online,,
,,,,Michael Peterson,OPEN,,,5,0,,Online,,
,,,,Darcy Padilla,CLOSED,,,0,0,,Online,,
,,,,Darcy Padilla,OPEN,,,5,0,,Online,,
,,,,Meg Mitchell,OPEN,,,5,0,,Online,,
,,,,Thomas Jones,OPEN,,,5,0,,Online,,
,,,,Mary Hoefferle,OPEN,,,5,0,,Online,,
,,,,Tomiko Jones,OPEN,,,5,0,,Online,,
,,,,Christina West,OPEN,,,3,1,,Online,,
,,,,Gerit Grimm,OPEN,,,5,0,,Online,,
,,,,Michael Velliquette,OPEN,,,5,0,,Online,,
,,,,Anna Campbell,OPEN,,,5,0,,Online,,
,,,,Katie Hudnall,OPEN,,,5,0,,Online,,
,,,,Sarah Fitzsimons,OPEN,,,5,0,,Online,,
,,,,Sarah Fitzsimons,OPEN,,,5,0,,Online,,
,,,,Leslie Smith,OPEN,,,5,0,,Online,,
,,,,Stephen Hilyard,OPEN,,,5,0,,Online,,
,,,,Laurie Beth Clark,OPEN,,,5,0,,Online,,
,,,,Douglas Rosenberg,OPEN,,,5,0,,Online,,
,,,,John Hitchcock,OPEN,,,5,0,,Online,,
,,,,Julie Chen,OPEN,,,5,1,,Online,,
,,,,Derrick Buisch,OPEN,,,5,0,,Online,,
,,,,Faisal Abdu'Allah,OPEN,,,5,0,,Online,,
,,,,Faisal Abdu'Allah,OPEN,,,5,0,,Online,,
,,,,Frederick Stonehouse,OPEN,,,5,0,,Online,,
,,,,Emily Arthur,OPEN,,,5,0,,Online,,
,,,,Mary Hoefferle,OPEN,,,24,0,,Online,,
,,,,Thomas Dale,OPEN,,,5,0,,Online,,
,,,,Nancy Marshall,OPEN,,,5,0,,Online,,
,,,,Anna Andrzejewski,OPEN,,,3,1,,Online,,
,,,,Janpanit Surasin,OPEN,,,5,0,,Online,,
,,,,Muhammad Asif,OPEN,,,5,0,,Online,,
,,,,Fatemeh Mirsharifi,OPEN,,,5,0,,Online,,
,,,,Jamal Jones,OPEN,,,5,0,,Online,,
,,,,Choua Lee,OPEN,,,5,0,,Online,,
,,,,Jampa Khedup,OPEN,,,5,0,,Online,,
,,,,Weihua Zhu,OPEN,,,5,0,,Online,,
,,,,Steve Ridgely,OPEN,,,5,0,,Online,,
,,,,Junko Mori,OPEN,,,5,0,,Online,,
,,,,Byung-Jin Lim,OPEN,,,5,0,,Online,,
,,,,Adam Kern,OPEN,,,5,0,,Online,,
,,,,Rania Huntington,OPEN,,,5,0,,Online,,
,,,,Tyrell Haberkorn,OPEN,,,5,0,,Online,,
,,,,Naomi Geyer,OPEN,,,5,0,,Online,,
,,,,John Dunne,OPEN,,,5,0,,Online,,
,,,,Anatoly Detwyler,OPEN,,,5,0,,Online,,
,,,,Charo D Etcheverry,OPEN,,,5,0,,Online,,
,,,,Anthony Cerulli,OPEN,,,5,0,,Online,,
,,,,Gudrun Buhnemann,OPEN,,,5,0,,Online,,
,,,,Kate Beatty,OPEN,,,3,1,,Online,,
,,,,Susanna Widicus Weaver,OPEN,,,2,0,,Online,,
,,,,Ke Zhang,OPEN,,,1,0,,Online,,
,,,,Elena Donghia,OPEN,,,1,0,,Online,,
,,,,Marina Orio,OPEN,,,2,0,,Online,,
,,,,Ellen Zweibel,OPEN,,,2,0,,Online,,
,,,,Richard Townsend,OPEN,,,2,0,,Online,,
,,,,Christy Tremonti,OPEN,,,2,0,,Online,,
,,,,Snezana Stanimirovic,OPEN,,,3,0,,Online,,
,,,,Robert Mathieu,OPEN,,,2,0,,Online,,
,,,,Alexandre Lazarian,OPEN,,,2,0,,Online,,
,,,,Sebastian Heinz,OPEN,,,2,0,,Online,,
,,,,John Gallagher,OPEN,,,3,0,,Online,,
,,,,Juliette Becker,OPEN,,,2,0,,Online,,
,,,,Amy Barger,OPEN,,,3,0,,Online,,
,,,,,OPEN,,,10,0,,Online,,
,,,,,OPEN,,,10,0,,Online,,
,,,,,OPEN,,,10,0,,Online,,
,,,,Brad Pierce,OPEN,,,10,0,,Online,,
,,,,Elizabeth Maroon,OPEN,,,10,0,,Online,,
,,,,Stephanie Henderson,OPEN,,,10,0,,Online,,
,,,,Angel Adames-Corraliza,OPEN,,,10,0,,Online,,
,,,,Till Wagner,OPEN,,,10,0,,Online,,
,,,,Tristan L'Ecuyer,OPEN,,,10,0,,Online,,
,,,,Larissa Back,OPEN,,,10,0,,Online,,
,,,,Tracey Holloway,OPEN,,,10,0,,Online,,
,,,,Angela Rowe,OPEN,,,10,0,,Online,,
,,,,Hannah Zanowski,OPEN,,,10,0,,Online,,
,,,,Matthew Hitchman,OPEN,,,10,0,,Online,,
,,,,Michael Morgan,OPEN,,,10,0,,Online,,
,,,,Daniel Vimont,OPEN,,,10,0,,Online,,
,,,,Jonathan Martin,OPEN,,,10,0,,Online,,
,,,,Mayra Oyola,OPEN,,,10,0,,Online,,
,,,,Ankur Desai,OPEN,,,10,0,,Online,,
,,,,,CLOSED,,,0,0,,Online,,
,,,,Duo Xu,OPEN,,,10,0,,Online,,
,,,,Chris Gisriel,OPEN,,,10,0,,Online,,
,,,,Monica Neugebauer,OPEN,,,10,0,,Online,,
,,,,Snehal Chaudhari,OPEN,,,10,0,,Online,,
,,,,Ci Ji Lim,OPEN,,,10,0,,Online,,
,,,,Tim Grant,OPEN,,,10,0,,Online,,
,,,,Chad Rienstra,OPEN,,,10,0,,Online,,
,,,,Robert Kirchdoerfer,OPEN,,,10,0,,Online,,
,,,,Amy Weeks,OPEN,,,10,0,,Online,,
,,,,Scott Coyle,OPEN,,,10,0,,Online,,
,,,,Elizabeth Wright,OPEN,,,10,0,,Online,,
,,,,Jason Cantor,OPEN,,,10,0,,Online,,
,,,,Judith Simcox,OPEN,,,10,0,,Online,,
,,,,Vatsan Raman,OPEN,,,10,0,,Online,,
,,,,Katie Wildman,OPEN,,,5,0,,Online,,
,,,,Aaron Hoskins,OPEN,,,20,0,,Online,,
,,,,Alessandro Senes,OPEN,,,20,1,,Online,,
,,,,Robert Landick,OPEN,,,20,1,,Online,,
,,,,Michael Sussman,OPEN,,,20,0,,Online,,
,,,,Samuel Butcher,OPEN,,,20,0,,Online,,
,,,,Sebastian Bednarek,OPEN,,,20,0,,Online,,
,,,,Thomas Martin,OPEN,,,20,0,,Online,,
,,,,Brian Fox,OPEN,,,20,0,,Online,,
,,,,Hazel Holden,OPEN,,,20,0,,Online,,
,,,,James Ntambi,OPEN,,,20,0,,Online,,
,,,,Paul Friesen,OPEN,,,20,0,,Online,,
,,,,Ivan Rayment,OPEN,,,20,0,,Online,,
,,,,Richard Amasino,OPEN,,,20,0,,Online,,
,,,,Alan Attie,OPEN,,,20,0,,Online,,
,,,,Hector Deluca,CLOSED,,,0,0,,Online,,
,,,,Robert Anex,OPEN,,,2,0,,Online,,
,,,,Troy Runge,OPEN,,,2,0,,Online,,
,,,,Xuejun Pan,OPEN,,,2,0,,Online,,
,,,,Christopher Choi,OPEN,,,5,0,,Online,,
,,,,Anita Thompson,OPEN,,,2,0,,Online,,
,,,,Melissa Skala,OPEN,,,5,1,,Online,,
,,,,Edward Hubbard,CLOSED,,,0,0,,Online,,
,,,,Anna Kowalkowski,CLOSED,,,0,0,,Online,,
,,,,Heidi Horn,CLOSED,,,0,0,,Online,,
,,,,Andrea Putnam,OPEN,,,5,0,,Online,,
,,,,John Denu,OPEN,,,5,0,,Online,,
,,,,Christina Hull,OPEN,,,5,1,,Online,,
,,,,James Keck,OPEN,,,5,0,,Online,,
,,,,Patricia Kiley,OPEN,,,5,0,,Online,,
,,,,Feyza Engin,OPEN,,,5,0,,Online,,
,,,,Peter Lewis,OPEN,,,5,0,,Online,,
,,,,Melissa Harrison,OPEN,,,5,0,,Online,,
,,,,Michael Sheets,OPEN,,,5,0,,Online,,
,,,,Dave Brow,OPEN,,,5,0,,Online,,
,,,,Catherine Fox,OPEN,,,5,0,,Online,,
,,,,Anjon Audhya,OPEN,,,15,1,,Online,,
,,,,Gaelen Hess,OPEN,,,5,0,,Online,,
,,,,C Newton,OPEN,,,10,0,,Online,,
,,,,Matthew Churpek,OPEN,,,5,0,,Online,,
,,,,Anoop Mayampurath,OPEN,,,5,0,,Online,,
,,,,Junjie Hu,OPEN,,,5,0,,Online,,
,,,,Yeonhee Park,OPEN,,,5,0,,Online,,
,,,,Huy Dinh,CLOSED,,,0,0,,Online,,
,,,,Jiwei Zhao,CLOSED,,,0,0,,Online,,
,,,,Daniel Pimentel Alarcon,OPEN,,,5,0,,Online,,
,,,,Daifeng Wang,OPEN,,,5,0,,Online,,
,,,,Yin Li,OPEN,,,5,0,,Online,,
,,,,Andreas Velten,OPEN,,,5,0,,Online,,
,,,,Zhengzheng Tang,CLOSED,,,0,0,,Online,,
,,,,Vikas Singh,OPEN,,,5,0,,Online,,
,,,,Sushmita Roy,OPEN,,,5,0,,Online,,
,,,,Juan Caicedo,OPEN,,,5,0,,Online,,
,,,,Irene Ong,OPEN,,,5,0,,Online,,
,,,,Qiongshi Lu,OPEN,,,5,0,,Online,,
,,,,Kyungmann Kim,CLOSED,,,0,0,,Online,,
,,,,C Newton,OPEN,,,5,0,,Online,,
,,,,Sunduz Keles,OPEN,,,10,0,,Online,,
,,,,Anthony Gitter,OPEN,,,5,0,,Online,,
,,,,Colin Dewey,CLOSED,,,0,0,,Online,,
,,,,Mark Craven,OPEN,,,5,0,,Online,,
,,,,Guanhua Chen,CLOSED,,,0,0,,Online,,
,,,,Richard Chappell,OPEN,,,5,0,,Online,,
,,,,Patrick Masson,CLOSED,,,0,0,,Online,,
,,,,Ellen Damschen,CLOSED,,,0,0,,Online,,
,,,,Chris Muir,OPEN,,,5,0,,Online,,
,,,,Ken Keefover-Ring,OPEN,,,5,0,,Online,,
,,,,Anne Pringle,OPEN,,,3,0,,Online,,
,,,,Kate McCulloh,OPEN,,,5,0,,Online,,
,,,,Hiroshi Maeda,OPEN,,,5,0,,Online,,
,,,,Kenneth Sytsma,OPEN,,,5,0,,Online,,
,,,,Simon Gilroy,OPEN,,,5,0,,Online,,
,,,,Eve Emshwiller,OPEN,,,5,0,,Online,,
,,,,Cecile Ane,OPEN,,,5,0,,Online,,
,,,,Thomas Givnish,OPEN,,,5,0,,Online,,
,,,,Marisa Otegui,OPEN,,,5,0,,Online,,
,,,,Sara Hotchkiss,OPEN,,,5,0,,Online,,
,,,,Kenneth Cameron,OPEN,,,5,0,,Online,,
,,,,David Baum,OPEN,,,5,0,,Online,,
,,,,Natalie Betz,OPEN,,,5,0,,Online,,
,,,,Bo Liu,OPEN,,,5,0,,Online,,
,,,,Romeo Blanc,OPEN,,,5,0,,Online,,
,,,,Igor Slukvin,CLOSED,,,0,0,,Online,,
,,,,Marjorie Brand,OPEN,,,5,0,,Online,,
,,,,Valentina Lo Sardo,OPEN,,,5,0,,Online,,
,,,,Owen Tamplin,OPEN,,,5,0,,Online,,
,,,,Deneen Wellik,OPEN,,,10,1,,Online,,
,,,,Beth Weaver,OPEN,,,5,1,,Online,,
,,,,Rupa Sridharan,OPEN,,,5,0,,Online,,
,,,,Suzanne Ponik,OPEN,,,5,0,,Online,,
,,,,Ahmed Mahmoud,OPEN,,,5,0,,Online,,
,,,,Junsu Kang,OPEN,,,5,0,,Online,,
,,,,Tim Kamp,OPEN,,,5,0,,Online,,
,,,,Colin Jefcoate,OPEN,,,5,0,,Online,,
,,,,Anne Griep,OPEN,,,5,0,,Online,,
,,,,Ying Ge,OPEN,,,5,0,,Online,,
,,,,Ricki Colman,OPEN,,,5,0,,Online,,
,,,,Barak Blum,OPEN,,,6,0,,Online,,
,,,,Anita Bhattacharyya Consigny,OPEN,,,8,5,,Online,,
,,,,Emery Bresnick,OPEN,,,9,0,,Online,,
,,,,Grace Boekhoff-Falk,OPEN,,,5,0,,Online,,
,,,,Thatcher Root,OPEN,,,1,0,,Online,,
,,,,Brian Pfleger,OPEN,,,1,0,,Online,,
,,,,Eric Shusta,OPEN,,,10,0,,Online,,
,,,,Shaoqin Gong,CLOSED,,,0,0,,Online,,
,,,,Jo Handelsman,CLOSED,,,0,0,,Online,,
,,,,Bryan Wakefield,CLOSED,,,0,1,,Online,,
,,,,Julian Cooper,CLOSED,,,0,0,,Online,,
,,,,Luca Mastropasqua,CLOSED,,,0,0,,Online,,
,,,,Giulio Tononi,CLOSED,,,0,0,,Online,,
,,,,Fang Liu,CLOSED,,,0,0,,Online,,
,,,,Hyunseok Oh,CLOSED,,,0,0,,Online,,
,,,,Inna Popova,CLOSED,,,0,0,,Online,,
,,,,Mohan Qin,CLOSED,,,0,0,,Online,,
,,,,Shaun Marcott,CLOSED,,,0,0,,Online,,
,,,,Audrey Girard,CLOSED,,,0,0,,Online,,
,,,,Donna Neumann,CLOSED,,,0,0,,Online,,
,,,,Quanyin Hu,CLOSED,,,0,0,,Online,,
,,,,Jun Xiao,CLOSED,,,0,0,,Online,,
,,,,Seungpyo Hong,CLOSED,,,0,0,,Online,,
,,,,Alan Attie,CLOSED,,,0,0,,Online,,
,,,,Gillian Mclellan,CLOSED,,,0,0,,Online,,
,,,,Kimberly Stietz,CLOSED,,,0,0,,Online,,
,,,,Monica Neugebauer,CLOSED,,,0,0,,Online,,
,,,,Ken Keefover-Ring,CLOSED,,,0,0,,Online,,
,,,,James Dumesic,CLOSED,,,0,0,,Online,,
,,,,Cameron Currie,CLOSED,,,0,0,,Online,,
,,,,John Lucey,CLOSED,,,0,0,,Online,,
,,,,Anjon Audhya,CLOSED,,,0,0,,Online,,
,,,,Qiang Chang,CLOSED,,,0,0,,Online,,
,,,,Jason Kwan,CLOSED,,,0,0,,Online,,
,,,,Chiara Cirelli,CLOSED,,,0,0,,Online,,
,,,,Tim Donohue,CLOSED,,,0,0,,Online,,
,,,,Pupa Gilbert,CLOSED,,,0,0,,Online,,
,,,,Christy Remucal,CLOSED,,,0,0,,Online,,
,,,,John Ralph,CLOSED,,,0,0,,Online,,
,,,,Michelle Ciucci,CLOSED,,,0,0,,Online,,
,,,,Michael Arnold,CLOSED,,,0,0,,Online,,
,,,,Joshua Lang,CLOSED,,,0,0,,Online,,
,,,,Daniel Noguera,CLOSED,,,0,0,,Online,,
,,,,Edwin Chapman,CLOSED,,,0,0,,Online,,
,,,,Chad Rienstra,CLOSED,,,0,0,,Online,,
,,,,Heike Hofstetter,CLOSED,,,0,0,,Online,,
,,,,Martha Vestling,CLOSED,,,0,0,,Online,,
,,,,Zoe Todd,CLOSED,,,0,0,,Online,,
,,,,Eszter Boros,CLOSED,,,0,0,,Online,,
,,,,Amy Weeks,CLOSED,,,0,0,,Online,,
,,,,Xuhui Huang,CLOSED,,,0,0,,Online,,
,,,,Aaron Hoskins,CLOSED,,,0,0,,Online,,
,,,,Dan Weix,CLOSED,,,0,0,,Online,,
,,,,Lian Yu,CLOSED,,,0,0,,Online,,
,,,,Ying Ge,CLOSED,,,0,0,,Online,,
,,,,John Berry,CLOSED,,,0,0,,Online,,
,,,,David Beebe,CLOSED,,,0,0,,Online,,
,,,,Dawei Feng,CLOSED,,,0,0,,Online,,
,,,,Tehshik Yoon,CLOSED,,,0,0,,Online,,
,,,,Cheri Rossi,CLOSED,,,0,0,,Online,,
,,,,Padma Gopalan,CLOSED,,,0,0,,Online,,
,,,,Pamela Semrad-Doolittle,CLOSED,,,0,0,,Online,,
,,,,John Markley,CLOSED,,,0,0,,Online,,
,,,,Lingjun Li,CLOSED,,,0,0,,Online,,
,,,,David Lynn,CLOSED,,,0,0,,Online,,
,,,,Silvia Cavagnero,CLOSED,,,0,0,,Online,,
,,,,Shannon Stahl,CLOSED,,,0,0,,Online,,
,,,,Thomas Brunold,CLOSED,,,0,0,,Online,,
,,,,Jennifer Golden,CLOSED,,,0,0,,Online,,
,,,,Kyoung-Shin Choi,CLOSED,,,0,0,,Online,,
,,,,Susanna Widicus Weaver,CLOSED,,,0,1,,Online,,
,,,,Lloyd Smith,CLOSED,,,0,0,,Online,,
,,,,Samuel Gellman,CLOSED,,,0,0,,Online,,
,,,,Clark Landis,CLOSED,,,0,0,,Online,,
,,,,John Wright,CLOSED,,,0,0,,Online,,
,,,,Robert Hamers,CLOSED,,,0,0,,Online,,
,,,,Etienne Garand,CLOSED,,,0,0,,Online,,
,,,,Helen Blackwell,CLOSED,,,0,0,,Online,,
,,,,Tina Wang,CLOSED,,,0,0,,Online,,
,,,,Martin Zanni,CLOSED,,,0,0,,Online,,
,,,,Josh Coon,CLOSED,,,0,0,,Online,,
,,,,Timothy Bertram,CLOSED,,,0,0,,Online,,
,,,,Jennifer Schomaker,CLOSED,,,0,0,,Online,,
,,,,Matt Bowman,CLOSED,,,0,0,,Online,,
,,,,M Thomas Record,CLOSED,,,0,0,,Online,,
,,,,Arun Yethiraj,CLOSED,,,0,0,,Online,,
,,,,Ive Hermans,CLOSED,,,0,0,,Online,,
,,,,Gil Nathanson,CLOSED,,,0,0,,Online,,
,,,,Robert Mcmahon,CLOSED,,,0,0,,Online,,
,,,,Sam Pazicni,CLOSED,,,0,0,,Online,,
,,,,Randall Goldsmith,CLOSED,,,0,0,,Online,,
,,,,Sandro Mecozzi,CLOSED,,,0,0,,Online,,
,,,,Daniel Fredrickson,CLOSED,,,0,0,,Online,,
,,,,Nicholas Hill,CLOSED,,,0,0,,Online,,
,,,,Jeffrey Martell,CLOSED,,,0,0,,Online,,
,,,,J.R. Schmidt,CLOSED,,,0,0,,Online,,
,,,,AJ Boydston,CLOSED,,,0,0,,Online,,
,,,,Judith Burstyn,CLOSED,,,0,0,,Online,,
,,,,Ryan Stowe,CLOSED,,,0,0,,Online,,
,,,,Song Jin,CLOSED,,,0,0,,Online,,
,,,,Weiping Tang,CLOSED,,,0,0,,Online,,
,,,,Zachary Wickens,CLOSED,,,0,0,,Online,,
,,,,Mark Ediger,CLOSED,,,0,0,,Online,,
,,,,Andrew Buller,CLOSED,,,0,0,,Online,,
,,,,Catherine Vieira,CLOSED,,,0,0,,Online,,
,,,,Revel Sims,CLOSED,,,0,0,,Online,,
,,,,Diego Roman,CLOSED,,,0,0,,Online,,
,,,,Alyssa Ramirez,CLOSED,,,0,0,,Online,,
,,,,Marla Ramirez Tahuado,CLOSED,,,0,0,,Online,,
,,,,Steve Quintana,CLOSED,,,0,0,,Online,,
,,,,Mariana Ortiz,CLOSED,,,0,0,,Online,,
,,,,Almita Miranda,CLOSED,,,0,0,,Online,,
,,,,Ruben Medina,CLOSED,,,0,0,,Online,,
,,,,Benjamin Marquez,CLOSED,,,0,0,,Online,,
,,,,Michael Light,CLOSED,,,0,0,,Online,,
,,,,Edna Ledesma,CLOSED,,,0,0,,Online,,
,,,,Michael Light,CLOSED,,,0,0,,Online,,
,,,,Armando Ibarra,CLOSED,,,0,0,,Online,,
,,,,Paola Hernandez,CLOSED,,,0,0,,Online,,
,,,,Alberta Gloria,CLOSED,,,0,0,,Online,,
,,,,Theresa Delgadillo,CLOSED,,,0,0,,Online,,
,,,,Steven Reusser,OPEN,,,10,1,,Online,,
,,,,Leon Downing,OPEN,,,5,0,,Online,,
,,,,Runhua Zhang,OPEN,,,5,0,,Online,,
,,,,Leon Downing,OPEN,,,5,0,,Online,,
,,,,Paul Block,OPEN,,,5,0,,Online,,
,,,,William Likos,OPEN,,,5,0,,Online,,
,,,,Steven Loheide,OPEN,,,5,0,,Online,,
,,,,John Reimer,OPEN,,,10,1,,Online,,
,,,,Dante Fratta,OPEN,,,10,0,,Online,,
,,,,Chin Wu,OPEN,,,5,0,,Online,,
,,,,James Schauer,OPEN,,,5,0,,Online,,
,,,,Daniel Noguera,OPEN,,,10,1,,Online,,
,,,,Greg Harrington,OPEN,,,10,0,,Online,,
,,,,Hussain Bahia,OPEN,,,5,0,,Online,,
,,,,Bin Ran,OPEN,,,10,0,,Online,,
,,,,Awad Hanna,OPEN,,,5,0,,Online,,
,,,,Jose Pincheira,OPEN,,,5,0,,Online,,
,,,,Craig Benson,OPEN,,,5,0,,Online,,
,,,,Jeffrey Russell,OPEN,,,10,0,,Online,,
,,,,Jim Park,OPEN,,,10,0,,Online,,
,,,,Gustavo Parra-Montesinos,OPEN,,,5,0,,Online,,
,,,,Jeff Starke,OPEN,,,10,0,,Online,,
,,,,Kenneth Potter,OPEN,,,5,0,,Online,,
,,,,Xiaopeng Li,OPEN,,,10,0,,Online,,
,,,,Sikai Chen,OPEN,,,10,0,,Online,,
,,,,Kelvin Santiago Chaparro,OPEN,,,5,0,,Online,,
,,,,Sue Ahn,OPEN,,,10,0,,Online,,
,,,,Jesse Hampton,OPEN,,,5,0,,Online,,
,,,,Tuncer Edil,OPEN,,,10,0,,Online,,
,,,,Mohan Qin,OPEN,,,10,2,,Online,,
,,,,Nimish Pujara,OPEN,,,5,0,,Online,,
,,,,Hannah Blum,OPEN,,,5,0,,Online,,
